ID_Pedido,Fecha,Producto,Cantidad,Ciudad,Precio_Unitario
10001,2025-01-01,Mouse Inalámbrico,2.0,Guayaquil,$35
10002,2025-01-01,Auriculares Gamer,4.0,Loja,$120
10003,2025-01-01,Teclado Mecánico,3.0,Ambato,$85
10004,2025-01-01,Auriculares Gamer,5.0,Cuenca,$120
10005,2025-01-01,Auriculares Gamer,4.0,Guayaquil,$120
10006,2025-01-01,"Monitor 24""",3.0,Ambato,$300
10007,2025-01-01,Teclado Mecánico,3.0,Ambato,$85
10008,2025-01-01,Teclado Mecánico,1.0,Loja,$85
10009,2025-01-01,Teclado Mecánico,5.0,Manta,$85
10010,2025-01-01,Auriculares Gamer,1.0,Loja,$120
10011,2025-01-01,Mouse Inalámbrico,2.0,Manta,$35
10012,2025-01-01,Teclado Mecánico,1.0,Manta,$85
10013,2025-01-01,Hub USB-C,1.0,Guayaquil,$45
10014,2025-01-01,Auriculares Gamer,4.0,Guayaquil,$120
10015,2025-01-01,"Monitor 24""",3.0,Cuenca,$300
10016,2025-01-01,Mouse Inalámbrico,5.0,Manta,$35
10017,2025-01-01,Hub USB-C,1.0,Ambato,$45
10018,2025-01-01,Hub USB-C,5.0,Quito,$45
10019,2025-01-01,"Monitor 24""",1.0,Cuenca,$300
10020,2025-01-01,Mouse Inalámbrico,2.0,Guayaquil,$35
10021,2025-01-01,Auriculares Gamer,1.0,Loja,$120
10022,2025-01-01,Laptop,4.0,Cuenca,$1200
10023,2025-01-01,Mouse Inalámbrico,3.0,Cuenca,$35
10024,2025-01-01,"Monitor 24""",2.0,Cuenca,$300
10025,2025-01-02,Hub USB-C,1.0,Cuenca,$45
10026,2025-01-02,Auriculares Gamer,5.0,Quito,$120
10027,2025-01-02,Mouse Inalámbrico,2.0,Loja,$35
10028,2025-01-02,Laptop,2.0,Loja,$1200
10029,2025-01-02,Laptop,1.0,Loja,$1200
10030,2025-01-02,Teclado Mecánico,2.0,Manta,$85
10031,,Teclado Mecánico,5.0,Ambato,$85
10032,2025-01-02,"Monitor 24""",2.0,Loja,$300
10033,2025-01-02,Mouse Inalámbrico,5.0,Cuenca,$35
10034,2025-01-02,Mouse Inalámbrico,1.0,Cuenca,$35
10035,2025-01-02,Hub USB-C,3.0,Loja,$45
10036,2025-01-02,Hub USB-C,2.0,Loja,$45
10037,2025-01-02,Hub USB-C,3.0,Cuenca,$45
10038,2025-01-02,Teclado Mecánico,5.0,Manta,$85
10039,2025-01-02,Mouse Inalámbrico,2.0,Guayaquil,$35
10040,2025-01-02,Mouse Inalámbrico,4.0,Guayaquil,$35
10041,2025-01-02,Laptop,3.0,Loja,$1200
10042,2025-01-02,Teclado Mecánico,2.0,Quito,$85
10043,2025-01-02,Auriculares Gamer,3.0,Loja,$120
10044,2025-01-02,Teclado Mecánico,2.0,Loja,$85
10045,2025-01-02,Auriculares Gamer,1.0,Guayaquil,$120
10046,2025-01-02,Laptop,3.0,Cuenca,$1200
10047,2025-01-02,"Monitor 24""",4.0,Loja,$300
10048,2025-01-02,Mouse Inalámbrico,4.0,Cuenca,$35
10049,2025-01-03,Laptop,5.0,Cuenca,$1200
10050,2025-01-03,Mouse Inalámbrico,2.0,Quito,$35
10051,2025-01-03,Hub USB-C,3.0,Cuenca,$45
10052,2025-01-03,"Monitor 24""",5.0,Guayaquil,$300
10053,2025-01-03,"Monitor 24""",3.0,Manta,$300
10054,2025-01-03,Laptop,2.0,Manta,$1200
10055,2025-01-03,"Monitor 24""",4.0,Ambato,$300
10056,2025-01-03,Auriculares Gamer,1.0,Loja,$120
10057,2025-01-03,"Monitor 24""",4.0,Guayaquil,$300
10058,2025-01-03,Mouse Inalámbrico,5.0,Cuenca,$35
10059,2025-01-03,Mouse Inalámbrico,1.0,Manta,$35
10060,2025-01-03,Mouse Inalámbrico,5.0,Guayaquil,$35
10061,2025-01-03,Mouse Inalámbrico,2.0,Manta,$35
10062,2025-01-03,Auriculares Gamer,1.0,Cuenca,$120
10063,2025-01-03,Teclado Mecánico,5.0,Manta,$85
10064,2025-01-03,Hub USB-C,2.0,Loja,$45
10065,2025-01-03,Laptop,4.0,Loja,$1200
10066,2025-01-03,Mouse Inalámbrico,2.0,Ambato,$35
10067,2025-01-03,"Monitor 24""",3.0,Ambato,$300
10068,2025-01-03,Mouse Inalámbrico,2.0,Manta,$35
10069,2025-01-03,"Monitor 24""",2.0,Guayaquil,$300
10070,2025-01-03,Hub USB-C,3.0,Loja,$45
10071,2025-01-03,Hub USB-C,5.0,Guayaquil,$45
10072,2025-01-03,Hub USB-C,5.0,Guayaquil,$45
10073,2025-01-04,"Monitor 24""",2.0,Manta,$300
10074,2025-01-04,Mouse Inalámbrico,3.0,Guayaquil,$35
10075,2025-01-04,Hub USB-C,3.0,Loja,$45
10076,2025-01-04,Auriculares Gamer,4.0,Cuenca,$120
10077,2025-01-04,"Monitor 24""",5.0,Ambato,$300
10078,2025-01-04,"Monitor 24""",1.0,Cuenca,$300
10079,2025-01-04,Mouse Inalámbrico,5.0,Guayaquil,$35
10080,2025-01-04,"Monitor 24""",5.0,Cuenca,$300
10081,2025-01-04,"Monitor 24""",4.0,Loja,$300
10082,2025-01-04,Hub USB-C,1.0,Loja,$45
10083,2025-01-04,Mouse Inalámbrico,4.0,Guayaquil,$35
10084,2025-01-04,Hub USB-C,1.0,Manta,$45
10085,2025-01-04,Hub USB-C,2.0,Cuenca,$45
10086,2025-01-04,Mouse Inalámbrico,1.0,Manta,$35
10087,2025-01-04,Laptop,4.0,Manta,$1200
10088,2025-01-04,Hub USB-C,5.0,Quito,$45
10089,2025-01-04,Auriculares Gamer,1.0,Guayaquil,$120
10090,2025-01-04,Auriculares Gamer,1.0,Ambato,$120
10091,2025-01-04,"Monitor 24""",3.0,Loja,$300
10092,2025-01-04,Auriculares Gamer,5.0,Loja,$120
10093,2025-01-04,"Monitor 24""",2.0,Guayaquil,$300
10094,2025-01-04,Laptop,4.0,Ambato,$1200
10095,2025-01-04,Mouse Inalámbrico,2.0,Loja,$35
10096,2025-01-04,Mouse Inalámbrico,5.0,Guayaquil,$35
10097,2025-01-05,Mouse Inalámbrico,1.0,Loja,$35
10098,2025-01-05,Auriculares Gamer,1.0,Manta,$120
10099,2025-01-05,Laptop,5.0,Cuenca,$1200
10100,2025-01-05,Auriculares Gamer,1.0,Cuenca,$120
10101,2025-01-05,Auriculares Gamer,1.0,Loja,$120
10102,2025-01-05,Laptop,1.0,Quito,$1200
10103,2025-01-05,Laptop,4.0,Ambato,$1200
10104,2025-01-05,Laptop,4.0,Ambato,$1200
10105,2025-01-05,Laptop,3.0,Ambato,$1200
10106,2025-01-05,Mouse Inalámbrico,2.0,Manta,$35
10107,2025-01-05,Teclado Mecánico,5.0,Ambato,$85
10108,2025-01-05,Teclado Mecánico,5.0,Cuenca,$85
10109,2025-01-05,Laptop,5.0,Manta,$1200
10110,2025-01-05,Teclado Mecánico,3.0,Guayaquil,$85
10111,2025-01-05,Teclado Mecánico,4.0,Ambato,$85
10112,2025-01-05,Laptop,3.0,Ambato,$1200
10113,2025-01-05,Teclado Mecánico,5.0,Guayaquil,$85
10114,2025-01-05,Auriculares Gamer,2.0,Ambato,$120
10115,2025-01-05,"Monitor 24""",1.0,Guayaquil,$300
10116,2025-01-05,"Monitor 24""",4.0,Manta,$300
10117,2025-01-05,Laptop,4.0,Cuenca,$1200
10118,2025-01-05,Mouse Inalámbrico,3.0,Guayaquil,$35
10119,2025-01-05,Laptop,4.0,Quito,$1200
10120,2025-01-05,Mouse Inalámbrico,5.0,Guayaquil,$35
10121,2025-01-06,"Monitor 24""",5.0,Ambato,$300
10122,2025-01-06,Laptop,3.0,Manta,$1200
10123,2025-01-06,Hub USB-C,5.0,Loja,$45
10124,2025-01-06,Auriculares Gamer,2.0,Manta,$120
10125,2025-01-06,Teclado Mecánico,3.0,Loja,$85
10126,2025-01-06,Mouse Inalámbrico,2.0,Guayaquil,$35
10127,2025-01-06,Hub USB-C,1.0,Cuenca,$45
10128,2025-01-06,Teclado Mecánico,2.0,Quito,$85
10129,2025-01-06,Teclado Mecánico,1.0,Manta,$85
10130,2025-01-06,Laptop,1.0,Ambato,$1200
10131,2025-01-06,Teclado Mecánico,2.0,Loja,$85
10132,2025-01-06,Auriculares Gamer,3.0,Ambato,$120
10133,2025-01-06,Hub USB-C,5.0,Cuenca,$45
10134,2025-01-06,Teclado Mecánico,5.0,Loja,$85
10135,2025-01-06,Laptop,1.0,Manta,$1200
10136,2025-01-06,Auriculares Gamer,1.0,Guayaquil,$120
10137,2025-01-06,"Monitor 24""",3.0,Ambato,$300
10138,2025-01-06,Hub USB-C,4.0,Cuenca,$45
10139,2025-01-06,Teclado Mecánico,2.0,Manta,$85
10140,2025-01-06,Laptop,1.0,Manta,$1200
10141,2025-01-06,"Monitor 24""",5.0,Manta,$300
10142,2025-01-06,"Monitor 24""",3.0,Manta,$300
10143,2025-01-06,Mouse Inalámbrico,2.0,Loja,$35
10144,2025-01-06,Auriculares Gamer,3.0,Manta,$120
10145,2025-01-07,Teclado Mecánico,2.0,Ambato,$85
10146,2025-01-07,Laptop,2.0,Cuenca,$1200
10147,2025-01-07,Mouse Inalámbrico,1.0,Loja,$35
10148,2025-01-07,Auriculares Gamer,3.0,Manta,$120
10149,2025-01-07,Mouse Inalámbrico,3.0,Quito,$35
10150,2025-01-07,Hub USB-C,5.0,Quito,$45
10151,2025-01-07,Auriculares Gamer,5.0,Cuenca,$120
10152,2025-01-07,Auriculares Gamer,1.0,Guayaquil,$120
10153,2025-01-07,Teclado Mecánico,1.0,Guayaquil,$85
10154,2025-01-07,Auriculares Gamer,,Loja,$120
10155,2025-01-07,Mouse Inalámbrico,5.0,Loja,$35
10156,2025-01-07,Auriculares Gamer,2.0,Loja,$120
10157,2025-01-07,Teclado Mecánico,3.0,Guayaquil,$85
10158,2025-01-07,Teclado Mecánico,,Quito,$85
10159,2025-01-07,Hub USB-C,3.0,Guayaquil,$45
10160,2025-01-07,Mouse Inalámbrico,3.0,Ambato,$35
10161,2025-01-07,"Monitor 24""",4.0,Manta,$300
10162,2025-01-07,"Monitor 24""",5.0,Loja,$300
10163,2025-01-07,Auriculares Gamer,1.0,Quito,$120
10164,2025-01-07,Hub USB-C,3.0,Cuenca,$45
10165,2025-01-07,Laptop,1.0,Cuenca,$1200
10166,2025-01-07,Auriculares Gamer,2.0,Manta,$120
10167,2025-01-07,Hub USB-C,4.0,Quito,$45
10168,2025-01-07,Mouse Inalámbrico,2.0,Guayaquil,$35
10169,2025-01-08,Mouse Inalámbrico,1.0,Guayaquil,$35
10170,2025-01-08,Mouse Inalámbrico,1.0,Ambato,$35
10171,2025-01-08,Mouse Inalámbrico,5.0,Ambato,$35
10172,2025-01-08,Mouse Inalámbrico,3.0,Guayaquil,$35
10173,2025-01-08,Hub USB-C,3.0,Cuenca,$45
10174,2025-01-08,Hub USB-C,,Loja,$45
10175,2025-01-08,Teclado Mecánico,4.0,Cuenca,$85
10176,2025-01-08,"Monitor 24""",3.0,Ambato,$300
10177,2025-01-08,Mouse Inalámbrico,5.0,Manta,$35
10178,2025-01-08,Laptop,2.0,Guayaquil,$1200
10179,2025-01-08,Hub USB-C,2.0,Ambato,$45
10180,2025-01-08,Laptop,5.0,Ambato,$1200
10181,2025-01-08,Laptop,4.0,Loja,$1200
10182,2025-01-08,Laptop,5.0,Guayaquil,$1200
10183,2025-01-08,Teclado Mecánico,4.0,Loja,$85
10184,2025-01-08,Hub USB-C,5.0,Guayaquil,$45
10185,2025-01-08,Laptop,5.0,Loja,$1200
10186,2025-01-08,Mouse Inalámbrico,1.0,Cuenca,$35
10187,2025-01-08,Auriculares Gamer,2.0,Manta,$120
10188,2025-01-08,Laptop,5.0,Manta,$1200
10189,2025-01-08,Teclado Mecánico,5.0,Guayaquil,$85
10190,2025-01-08,Hub USB-C,3.0,Quito,$45
10191,2025-01-08,Teclado Mecánico,2.0,Ambato,$85
10192,2025-01-08,Laptop,3.0,Ambato,$1200
10193,2025-01-09,Hub USB-C,2.0,Guayaquil,$45
10194,2025-01-09,Auriculares Gamer,3.0,Loja,$120
10195,2025-01-09,Laptop,5.0,Quito,$1200
10196,2025-01-09,Teclado Mecánico,5.0,Cuenca,$85
10197,2025-01-09,"Monitor 24""",1.0,Loja,$300
10198,2025-01-09,Mouse Inalámbrico,3.0,Loja,$35
10199,2025-01-09,Teclado Mecánico,4.0,Guayaquil,$85
10200,2025-01-09,Hub USB-C,,Guayaquil,$45
10201,2025-01-09,Laptop,3.0,Ambato,$1200
10202,2025-01-09,Mouse Inalámbrico,3.0,Guayaquil,$35
10203,2025-01-09,Laptop,1.0,Guayaquil,$1200
10204,2025-01-09,Hub USB-C,5.0,Guayaquil,$45
10205,2025-01-09,Laptop,3.0,Ambato,$1200
10206,2025-01-09,"Monitor 24""",5.0,Cuenca,$300
10207,2025-01-09,Mouse Inalámbrico,1.0,Cuenca,$35
10208,2025-01-09,Mouse Inalámbrico,5.0,Guayaquil,$35
10209,2025-01-09,Hub USB-C,2.0,Ambato,$45
10210,2025-01-09,"Monitor 24""",4.0,Cuenca,$300
10211,2025-01-09,Teclado Mecánico,3.0,Loja,$85
10212,2025-01-09,Laptop,4.0,Cuenca,$1200
10213,2025-01-09,Auriculares Gamer,5.0,Cuenca,$120
10214,2025-01-09,Laptop,3.0,Ambato,$1200
10215,2025-01-09,Laptop,5.0,Loja,$1200
10216,2025-01-09,Teclado Mecánico,,Ambato,$85
10217,2025-01-10,Laptop,1.0,Guayaquil,$1200
10218,2025-01-10,"Monitor 24""",3.0,Manta,$300
10219,2025-01-10,"Monitor 24""",2.0,Cuenca,$300
10220,2025-01-10,Mouse Inalámbrico,2.0,Manta,$35
10221,2025-01-10,Hub USB-C,3.0,Ambato,$45
10222,2025-01-10,Auriculares Gamer,5.0,Ambato,$120
10223,2025-01-10,Laptop,2.0,Ambato,$1200
10224,2025-01-10,Laptop,4.0,Manta,$1200
10225,2025-01-10,Teclado Mecánico,2.0,Ambato,$85
10226,2025-01-10,Hub USB-C,5.0,Guayaquil,$45
10227,2025-01-10,"Monitor 24""",5.0,Ambato,$300
10228,2025-01-10,Auriculares Gamer,4.0,Quito,$120
10229,2025-01-10,Mouse Inalámbrico,2.0,Manta,$35
10230,2025-01-10,"Monitor 24""",5.0,Quito,$300
10231,2025-01-10,Hub USB-C,3.0,Ambato,$45
10232,2025-01-10,Mouse Inalámbrico,1.0,Guayaquil,$35
10233,2025-01-10,Teclado Mecánico,1.0,Cuenca,$85
10234,2025-01-10,Teclado Mecánico,1.0,Loja,$85
10235,2025-01-10,Laptop,2.0,Loja,$1200
10236,2025-01-10,Hub USB-C,4.0,Ambato,$45
10237,2025-01-10,Auriculares Gamer,5.0,Guayaquil,$120
10238,2025-01-10,Mouse Inalámbrico,3.0,Manta,$35
10239,2025-01-10,"Monitor 24""",3.0,Quito,$300
10240,2025-01-10,Hub USB-C,2.0,Quito,$45
10241,2025-01-11,Hub USB-C,1.0,Quito,$45
10242,2025-01-11,Teclado Mecánico,2.0,Manta,$85
10243,2025-01-11,Laptop,4.0,Loja,$1200
10244,2025-01-11,Laptop,4.0,Guayaquil,$1200
10245,2025-01-11,Mouse Inalámbrico,5.0,Manta,$35
10246,2025-01-11,Teclado Mecánico,5.0,Quito,$85
10247,2025-01-11,Hub USB-C,4.0,Ambato,$45
10248,2025-01-11,Auriculares Gamer,4.0,Cuenca,$120
10249,2025-01-11,Teclado Mecánico,4.0,Manta,$85
10250,2025-01-11,Mouse Inalámbrico,2.0,Manta,$35
10251,2025-01-11,Mouse Inalámbrico,4.0,Guayaquil,$35
10252,2025-01-11,Teclado Mecánico,3.0,Guayaquil,$85
10253,2025-01-11,Mouse Inalámbrico,1.0,Manta,$35
10254,2025-01-11,Teclado Mecánico,4.0,Quito,$85
10255,2025-01-11,"Monitor 24""",1.0,Cuenca,$300
10256,2025-01-11,Teclado Mecánico,2.0,Guayaquil,$85
10257,2025-01-11,Teclado Mecánico,1.0,Quito,$85
10258,2025-01-11,Mouse Inalámbrico,2.0,Ambato,$35
10259,2025-01-11,Mouse Inalámbrico,3.0,Guayaquil,$35
10260,2025-01-11,Laptop,2.0,Quito,$1200
10261,2025-01-11,Laptop,2.0,Quito,$1200
10262,2025-01-11,"Monitor 24""",5.0,Cuenca,$300
10263,2025-01-11,Laptop,4.0,Cuenca,$1200
10264,2025-01-11,Teclado Mecánico,4.0,Ambato,$85
10265,2025-01-12,Mouse Inalámbrico,3.0,Quito,$35
10266,2025-01-12,Laptop,3.0,Loja,$1200
10267,2025-01-12,Laptop,4.0,Quito,$1200
10268,2025-01-12,"Monitor 24""",5.0,Cuenca,$300
10269,2025-01-12,Hub USB-C,4.0,Loja,$45
10270,2025-01-12,"Monitor 24""",5.0,Guayaquil,$300
10271,2025-01-12,Teclado Mecánico,3.0,Guayaquil,$85
10272,2025-01-12,Mouse Inalámbrico,1.0,Manta,$35
10273,2025-01-12,"Monitor 24""",3.0,Cuenca,$300
10274,2025-01-12,Laptop,3.0,Manta,$1200
10275,2025-01-12,Mouse Inalámbrico,2.0,Loja,$35
10276,2025-01-12,Mouse Inalámbrico,2.0,Cuenca,$35
10277,2025-01-12,Laptop,2.0,Ambato,$1200
10278,2025-01-12,"Monitor 24""",2.0,Quito,$300
10279,2025-01-12,Laptop,5.0,Ambato,$1200
10280,2025-01-12,Hub USB-C,4.0,Loja,$45
10281,2025-01-12,Mouse Inalámbrico,1.0,Cuenca,$35
10282,2025-01-12,Auriculares Gamer,3.0,Loja,$120
10283,2025-01-12,Auriculares Gamer,5.0,Quito,$120
10284,2025-01-12,Teclado Mecánico,1.0,Guayaquil,$85
10285,2025-01-12,Laptop,5.0,Guayaquil,$1200
10286,2025-01-12,Laptop,5.0,Loja,$1200
10287,2025-01-12,Teclado Mecánico,3.0,Manta,$85
10288,2025-01-12,Teclado Mecánico,4.0,Cuenca,$85
10289,2025-01-13,Teclado Mecánico,2.0,Cuenca,$85
10290,2025-01-13,Mouse Inalámbrico,4.0,Guayaquil,$35
10291,2025-01-13,Hub USB-C,3.0,Ambato,$45
10292,2025-01-13,Laptop,3.0,Quito,$1200
10293,2025-01-13,Mouse Inalámbrico,3.0,Ambato,$35
10294,2025-01-13,Teclado Mecánico,1.0,Ambato,$85
10295,2025-01-13,Laptop,4.0,Loja,$1200
10296,2025-01-13,Mouse Inalámbrico,4.0,Guayaquil,$35
10297,2025-01-13,Hub USB-C,5.0,Guayaquil,$45
10298,2025-01-13,Mouse Inalámbrico,5.0,Guayaquil,$35
10299,2025-01-13,Hub USB-C,5.0,Loja,$45
10300,2025-01-13,Teclado Mecánico,3.0,Manta,$85
10301,2025-01-13,Hub USB-C,4.0,Ambato,$45
10302,2025-01-13,Laptop,3.0,Loja,$1200
10303,,Teclado Mecánico,1.0,Cuenca,$85
10304,2025-01-13,Laptop,5.0,Quito,$1200
10305,2025-01-13,Auriculares Gamer,3.0,Manta,$120
10306,2025-01-13,"Monitor 24""",,Cuenca,$300
10307,2025-01-13,Hub USB-C,1.0,Ambato,$45
10308,2025-01-13,"Monitor 24""",2.0,Guayaquil,$300
10309,2025-01-13,"Monitor 24""",4.0,Ambato,$300
10310,2025-01-13,Hub USB-C,2.0,Loja,$45
10311,2025-01-13,Teclado Mecánico,5.0,Quito,$85
10312,2025-01-13,Auriculares Gamer,3.0,Loja,$120
10313,2025-01-14,Laptop,1.0,Manta,$1200
10314,2025-01-14,Mouse Inalámbrico,1.0,Manta,$35
10315,2025-01-14,Laptop,4.0,Quito,$1200
10316,2025-01-14,Mouse Inalámbrico,2.0,Cuenca,$35
10317,2025-01-14,Laptop,4.0,Cuenca,$1200
10318,2025-01-14,Hub USB-C,3.0,Manta,$45
10319,2025-01-14,Auriculares Gamer,4.0,Manta,$120
10320,,Mouse Inalámbrico,1.0,Guayaquil,$35
10321,2025-01-14,Teclado Mecánico,1.0,Cuenca,$85
10322,2025-01-14,Laptop,5.0,Quito,$1200
10323,2025-01-14,Laptop,5.0,Cuenca,$1200
10324,2025-01-14,Mouse Inalámbrico,3.0,Guayaquil,$35
10325,2025-01-14,Teclado Mecánico,2.0,Loja,$85
10326,2025-01-14,Teclado Mecánico,4.0,Manta,$85
10327,2025-01-14,Hub USB-C,3.0,Manta,$45
10328,,Hub USB-C,5.0,Guayaquil,$45
10329,2025-01-14,Hub USB-C,4.0,Quito,$45
10330,2025-01-14,Hub USB-C,5.0,Manta,$45
10331,2025-01-14,Hub USB-C,4.0,Ambato,$45
10332,2025-01-14,Hub USB-C,2.0,Manta,$45
10333,2025-01-14,Auriculares Gamer,3.0,Ambato,$120
10334,2025-01-14,Teclado Mecánico,4.0,Guayaquil,$85
10335,2025-01-14,Hub USB-C,1.0,Guayaquil,$45
10336,2025-01-14,Teclado Mecánico,1.0,Manta,$85
10337,2025-01-15,Teclado Mecánico,4.0,Cuenca,$85
10338,2025-01-15,"Monitor 24""",4.0,Ambato,$300
10339,2025-01-15,Auriculares Gamer,4.0,Quito,$120
10340,2025-01-15,Hub USB-C,1.0,Manta,$45
10341,2025-01-15,Laptop,1.0,Quito,$1200
10342,2025-01-15,Mouse Inalámbrico,4.0,Manta,$35
10343,2025-01-15,Laptop,5.0,Cuenca,$1200
10344,2025-01-15,Auriculares Gamer,5.0,Cuenca,$120
10345,2025-01-15,Mouse Inalámbrico,2.0,Cuenca,$35
10346,2025-01-15,Auriculares Gamer,3.0,Loja,$120
10347,2025-01-15,Teclado Mecánico,5.0,Cuenca,$85
10348,2025-01-15,Mouse Inalámbrico,1.0,Guayaquil,$35
10349,2025-01-15,Teclado Mecánico,5.0,Guayaquil,$85
10350,2025-01-15,Laptop,2.0,Loja,$1200
10351,2025-01-15,Laptop,2.0,Ambato,$1200
10352,2025-01-15,Mouse Inalámbrico,,Quito,$35
10353,2025-01-15,Mouse Inalámbrico,5.0,Manta,$35
10354,2025-01-15,Hub USB-C,1.0,Manta,$45
10355,2025-01-15,Auriculares Gamer,1.0,Loja,$120
10356,2025-01-15,Hub USB-C,4.0,Guayaquil,$45
10357,2025-01-15,Auriculares Gamer,1.0,Manta,$120
10358,2025-01-15,Hub USB-C,3.0,Guayaquil,$45
10359,2025-01-15,Teclado Mecánico,3.0,Ambato,$85
10360,2025-01-15,Mouse Inalámbrico,1.0,Quito,$35
10361,2025-01-16,Laptop,1.0,Ambato,$1200
10362,2025-01-16,Auriculares Gamer,4.0,Loja,$120
10363,2025-01-16,Auriculares Gamer,1.0,Cuenca,$120
10364,2025-01-16,Laptop,4.0,Cuenca,$1200
10365,,Hub USB-C,4.0,Cuenca,$45
10366,2025-01-16,Auriculares Gamer,1.0,Ambato,$120
10367,2025-01-16,Teclado Mecánico,2.0,Manta,$85
10368,2025-01-16,Mouse Inalámbrico,2.0,Quito,$35
10369,2025-01-16,Laptop,4.0,Cuenca,$1200
10370,2025-01-16,Mouse Inalámbrico,1.0,Loja,$35
10371,2025-01-16,Auriculares Gamer,2.0,Loja,$120
10372,2025-01-16,Auriculares Gamer,1.0,Cuenca,$120
10373,2025-01-16,Laptop,1.0,Cuenca,$1200
10374,2025-01-16,Teclado Mecánico,1.0,Quito,$85
